"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","[GMAP] PAY BY PLATE","0","[GMAP] Fuelling","3","0","[GMAP] Frictionless","0"
"0","[GMAP] GIFT CARD","0","[GMAP] Gift Cards","1","0","[GMAP] Purchasing gift card with large denomination - error handling and gift message and delivery by sms","0"
"0","[GMAP] CAR WASH","0","[NPS][CW]NPS Screen","1","0","[TEST][CW][NPS] - New NPS screen behavior - Score of 6 or less","0"
"0","[GMAP] ACCOUNT","0","[GMAP] Partner Agreement","1","0","[GMAP] Partner Agreement - Replacing an active agreement code","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","1","0","[GMAP] CWS Wash Bay occupied","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","0","0","[GMAP] CWS up-sell consumption","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","1","0","[GMAP] CWS down-sell consumption","0"
"0","[GMAP] ACCOUNT","0","[GMAP] Partner Agreement","1","0","[GMAP] Partner Agreement - Adding Valid Partner Code","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP]","1","0","[GMAP]","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS-NewLogic","1","0","[GMAP] CWS flow when at a store with no car wash at foreign BU","0"
"5","[GMAP] Extra","2","[GMAP] Fuelling","2","0","[GMAP] Single fuel","0"
"0","[GMAP] ACCOUNT","0","[GMAP] Partner Agreement","1","0","[GMAP] Partner Agreement - Removing Partner Agreement Code","0"
"0","[GMAP] ACCOUNT","0","[GMAP] My Account","3","0","[GMAP] Profile","0"
"0","[GMAP] GIFT CARD","0","[GMAP] My Account","4","0","[GMAP] Wallet","0"
"0","[GMAP] ACCOUNT","0","[GMAP][Terms]","1","0","[GMAP] Marketing consents","0"
"0","[GMAP] GIFT CARD","0","GiftCard","1","0","[GiftCard] The Done keyboard for the recipient phone number does not close the keyboard","0"
"0","[GMAP] ACCOUNT","0","","1","0","","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] [Terms] Forecourt terms for Fuelling when user is not enrolled to PBP","1","0","[GMAP] [Terms] Forecourt terms for Fuelling when user is not enrolled to PBP","0"
"0","[GMAP] GIFT CARD","0","","1","0","","0"
"0","[GMAP] CAR WASH","0","[GMAP] CWS enrollment","1","0","[GMAP] Purchasing CWS subscription","0"
"0","[GMAP] CAR WASH","0","[GMAP][Terms] Forecourt terms acceptances upon first time Wallet use","1","0","[GMAP][Terms] Forecourt terms acceptances upon first time Wallet use","0"
"0","[GMAP] ACCOUNT","0","[GMAP] Account","1","0","[GMAP] Terms","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","1","0","[GMAP] CWS no up-sell/down-sell consumption","0"
"1","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] Cancel of CWS","0","0","[GMAP] Cancel of CWS","0"
"0","[GMAP] PAY BY PLATE","0","","1","0","","0"
"0","[GMAP] FUELLING","0","","1","0","","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","2","0","[GMAP] Single wash consumption","0"
"0","[GMAP] ONBOARDING","0","[GMAP] Sign In - First Launch","1","0","[GMAP] Sign In - First Launch","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","","1","0","","0"
"0","[GMAP] ACCOUNT","0","[GMAP][Terms] Accounts","1","0","[GMAP] Accounts","0"
"0","[GMAP] CAR WASH","0","[GMAP] CW New Logic","1","0","[GMAP] Single wash station offer","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] Fuelling","1","0","[GMAP] Manual flow","0"
"0","[GMAP] SUBSCRIPTIONS","0","[GMAP] PBP enrollment","1","0","[GMAP] Adding license plate","0"
"0","[GMAP] ACCOUNT","0","[GMAP] Partner Agreement","1","0","[GMAP] Partner Agreement - Adding Invalid Partner Code","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CW New Logic","1","0","[GMAP] CWS plans offer","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS consumption","1","0","[GMAP] CWS cancel consumption","0"
"0","[GMAP] OTHER FEATURES","0","","1","0","","0"
"0","[GMAP] PAY BY PLATE","0","[GMAP] PBP settings","1","0","[GMAP] Adding license plate","0"
"0","[GMAP] CAR WASH SUBSCRIPTION","0","[GMAP] CWS-NewLogic","1","0","[GMAP] CWS flow when at a store with no car wash at native BU","0"
